Date/Time,Min (count/min),Max (count/min),Avg (count/min),Context,Source
2026-07-05 21:10:44,149,149,149,,范康松的Apple Watch
2026-07-05 21:10:46,149,149,149,,范康松的Apple Watch
2026-07-05 21:10:51,147,147,147,,范康松的Apple Watch
2026-07-05 21:10:57,146,146,146,,范康松的Apple Watch
2026-07-05 21:11:02,145,145,145,,范康松的Apple Watch
2026-07-05 21:11:08,143,143,143,,范康松的Apple Watch
2026-07-05 21:11:11,141,141,141,,范康松的Apple Watch
2026-07-05 21:11:16,139,139,139,,范康松的Apple Watch
2026-07-05 21:11:24,136,136,136,,范康松的Apple Watch
2026-07-05 21:11:27,134,134,134,,范康松的Apple Watch
2026-07-05 21:11:31,132,132,132,,范康松的Apple Watch
2026-07-05 21:11:40,128,128,128,,范康松的Apple Watch
2026-07-05 21:11:45,128,128,128,,范康松的Apple Watch
2026-07-05 21:11:46,127,127,127,,范康松的Apple Watch
2026-07-05 21:11:52,126,126,126,,范康松的Apple Watch
2026-07-05 21:11:56,125,125,125,,范康松的Apple Watch
2026-07-05 21:12:05,126,126,126,,范康松的Apple Watch
2026-07-05 21:12:10,124,124,124,,范康松的Apple Watch
2026-07-05 21:12:11,123,123,123,,范康松的Apple Watch
2026-07-05 21:12:20,120,120,120,,范康松的Apple Watch
2026-07-05 21:12:23,120,120,120,,范康松的Apple Watch
2026-07-05 21:12:28,120,120,120,,范康松的Apple Watch
2026-07-05 21:12:35,117,117,117,,范康松的Apple Watch
2026-07-05 21:12:37,117,117,117,,范康松的Apple Watch
